Year,County,Region,Child Population,% of Children in Total Population,Total Population
2022,Hall,1-Lubbock,778,24,3302
2022,Hamilton,7-Austin,1867,23,8200
2022,Hansford,1-Lubbock,1637,28,5890
2022,Hardeman,2-Abilene,936,24,3845
2022,Hardin,5-Beaumont,12317,22,56792
2022,Harris,6-Houston,1368422,27,5164809
2022,Harrison,4-Tyler,17519,25,68736
2022,Hartley,1-Lubbock,1190,20,6092
2022,Haskell,2-Abilene,1278,20,6289
2022,Hays,7-Austin,56171,22,253894
2022,Hemphill,1-Lubbock,1549,32,4892
2022,Henderson,4-Tyler,16894,21,81548
2022,Hidalgo,11-Edinburg,257379,29,888655
2022,Hill,7-Austin,8475,24,35683
2022,Hockley,1-Lubbock,6614,27,24959
2022,Hood,3-Arlington,11986,20,60158
2022,Hopkins,4-Tyler,8598,23,37334
2022,Houston,5-Beaumont,4532,20,22433
2022,Howard,9-Midland,10012,23,42702
2022,Hudspeth,10-El Paso,692,20,3406
2022,Hunt,3-Arlington,22393,23,97277
2022,Hutchinson,1-Lubbock,5313,25,21396
2022,Irion,9-Midland,252,17,1506
2022,Jack,2-Abilene,1947,22,8820
2022,Jackson,8-San Antonio,4270,26,16293
2022,Jasper,5-Beaumont,8168,23,35374
2022,Jeff Davis,10-El Paso,330,16,2076
2022,Jefferson,5-Beaumont,60846,23,259733
2022,Jim Hogg,11-Edinburg,1450,29,5026
2022,Jim Wells,11-Edinburg,12257,28,43229
2022,Johnson,3-Arlington,44570,25,176087
2022,Jones,2-Abilene,3199,16,19666
2022,Karnes,8-San Antonio,3442,22,15560
2022,Kaufman,3-Arlington,32383,25,130210
2022,Kendall,8-San Antonio,11107,22,49720
2022,Kenedy,11-Edinburg,109,22,487
2022,Kent,2-Abilene,151,19,800
2022,Kerr,8-San Antonio,10533,20,52830
2022,Kimble,9-Midland,809,19,4277
2022,King,1-Lubbock,53,17,317
2022,Kinney,8-San Antonio,713,21,3453
2022,Kleberg,11-Edinburg,6773,22,30857
2022,Knox,2-Abilene,1018,26,3987
2022,La Salle,8-San Antonio,1729,20,8651
2022,Lamar,4-Tyler,11275,23,49957
2022,Lamb,1-Lubbock,3204,26,12556
2022,Lampasas,7-Austin,4509,21,21331
2022,Lavaca,8-San Antonio,5220,25,21191
2022,Lee,7-Austin,4269,24,17787
2022,Leon,7-Austin,4087,23,17905
2022,Liberty,6-Houston,21672,25,87353
2022,Limestone,7-Austin,5188,22,23574
2022,Lipscomb,1-Lubbock,922,25,3733
2022,Live Oak,11-Edinburg,2556,21,12132
2022,Llano,7-Austin,3247,17,19503
2022,Loving,9-Midland,14,15,93
2022,Lubbock,1-Lubbock,77112,24,326611
2022,Lynn,1-Lubbock,1303,24,5534
2022,Madison,7-Austin,3386,23,14754
2022,Marion,4-Tyler,1961,19,10199
2022,Martin,9-Midland,1768,28,6349
2022,Mason,9-Midland,776,20,3905
2022,Matagorda,6-Houston,9047,24,37032
2022,Maverick,8-San Antonio,18002,30,61027
2022,McCulloch,9-Midland,1947,22,8738
2022,McLennan,7-Austin,64930,25,256604
2022,McMullen,11-Edinburg,132,17,787
2022,Medina,8-San Antonio,11548,22,51621
2022,Menard,9-Midland,429,20,2185
2022,Midland,9-Midland,56560,28,200890
2022,Milam,7-Austin,5874,24,24627
2022,Mills,7-Austin,1049,22,4847
2022,Mitchell,2-Abilene,1926,19,9943
2022,Montague,2-Abilene,4247,22,19099
2022,Montgomery,6-Houston,159897,25,652082
2022,Moore,1-Lubbock,6198,29,21510
2022,Morris,4-Tyler,2711,22,12328
2022,Motley,1-Lubbock,206,18,1162
2022,Nacogdoches,5-Beaumont,13319,21,64248
2022,Navarro,3-Arlington,11331,24,47962
2022,Newton,5-Beaumont,2598,19,13598
2022,Nolan,2-Abilene,4035,26,15734
2022,Nueces,11-Edinburg,97946,25,393190
2022,Ochiltree,1-Lubbock,3348,29,11553
2022,Oldham,1-Lubbock,544,25,2217
2022,Orange,5-Beaumont,19740,23,86913
2022,Palo Pinto,3-Arlington,6142,22,27777
2022,Panola,4-Tyler,5944,24,24714
2022,Parker,3-Arlington,31979,23,139853
2022,Parmer,1-Lubbock,2453,27,9004
2022,Pecos,9-Midland,4071,24,16658
2022,Polk,5-Beaumont,9615,19,49862
2022,Potter,1-Lubbock,30097,25,122799
2022,Presidio,10-El Paso,1323,24,5609
2022,Rains,4-Tyler,2235,20,11455
2022,Randall,1-Lubbock,34244,24,142506
2022,Reagan,9-Midland,1201,27,4425
2022,Real,8-San Antonio,710,21,3421
2022,Red River,4-Tyler,2583,21,12515
2022,Reeves,9-Midland,3506,22,16150
2022,Refugio,11-Edinburg,1752,23,7603
2022,Roberts,1-Lubbock,223,22,994
2022,Robertson,7-Austin,3696,22,16936
2022,Rockwall,3-Arlington,24623,23,107826
2022,Runnels,2-Abilene,2595,23,11137
2022,Rusk,4-Tyler,11307,21,52648
2022,Sabine,5-Beaumont,1839,19,9752
2022,San Augustine,5-Beaumont,1635,20,8314
2022,San Jacinto,5-Beaumont,6540,22,29330
2022,San Patricio,11-Edinburg,18618,26,72760
2022,San Saba,7-Austin,1180,20,5845
2022,Schleicher,9-Midland,841,25,3336
2022,Scurry,2-Abilene,4720,25,18701
2022,Shackelford,2-Abilene,800,23,3423
2022,Shelby,5-Beaumont,6595,26,25493
2022,Sherman,1-Lubbock,856,26,3326
2022,Smith,4-Tyler,57748,24,239994
2022,Somervell,3-Arlington,1994,21,9482
2022,Starr,11-Edinburg,19960,31,65276
2022,Stephens,2-Abilene,2157,23,9568
2022,Sterling,9-Midland,256,20,1269
2022,Stonewall,2-Abilene,300,20,1525
2022,Sutton,9-Midland,1001,23,4431
2022,Swisher,1-Lubbock,1723,24,7328
2022,Tarrant,3-Arlington,548523,25,2214148
2022,Taylor,2-Abilene,34498,24,140957
2022,Terrell,9-Midland,210,20,1058
2022,Terry,1-Lubbock,3487,26,13161
2022,Throckmorton,2-Abilene,313,21,1506
2022,Titus,4-Tyler,9011,27,33005
2022,Tom Green,9-Midland,28606,23,126243
2022,Travis,7-Austin,293347,22,1342801
2022,Trinity,5-Beaumont,2627,19,14122
2022,Tyler,5-Beaumont,4312,20,21278
2022,Upshur,4-Tyler,9184,22,42145
2022,Upton,9-Midland,1060,26,4127
2022,Uvalde,8-San Antonio,7019,25,28411
2022,Val Verde,8-San Antonio,13393,28,48098
2022,Van Zandt,4-Tyler,12616,23,56056
2022,Victoria,8-San Antonio,23463,23,100022
2022,Walker,6-Houston,13658,18,75503
2022,Waller,6-Houston,11778,23,52280
2022,Ward,9-Midland,4197,29,14383
2022,Washington,7-Austin,7732,22,35421
2022,Webb,11-Edinburg,81077,29,281099
2022,Wharton,6-Houston,10469,25,42045
2022,Wheeler,1-Lubbock,1485,25,5841
2022,Wichita,2-Abilene,29370,22,133297
2022,Wilbarger,2-Abilene,2884,22,12913
2022,Willacy,11-Edinburg,5355,24,22089
2022,Williamson,7-Austin,153239,24,630580
2022,Wilson,8-San Antonio,11663,22,53799
2022,Winkler,9-Midland,3052,31,9854
2022,Wise,3-Arlington,14972,22,67160
2022,Wood,4-Tyler,9141,20,45896
2022,Yoakum,1-Lubbock,3018,32,9579
2022,Young,2-Abilene,4445,24,18760
2022,Zapata,11-Edinburg,4574,32,14430
2022,Zavala,8-San Antonio,3975,31,12879
2022,All Counties,All Regions,,,7675490
2021,Anderson,4-Tyler,10671,18,58162
2021,Andrews,9-Midland,7199,31,23290
2021,Angelina,5-Beaumont,23086,25,90739
2021,Aransas,11-Edinburg,5399,19,28232
2021,Archer,2-Abilene,1690,20,8303
2021,Armstrong,1-Lubbock,339,17,1946
2021,Atascosa,8-San Antonio,13613,26,52646
2021,Austin,6-Houston,6937,23,30609
2021,Bailey,1-Lubbock,2325,30,7749
2021,Bandera,8-San Antonio,3416,16,21318
2021,Bastrop,7-Austin,20992,24,87351
2021,Baylor,2-Abilene,818,23,3620
2021,Bee,11-Edinburg,7652,22,34694
2021,Bell,7-Austin,103803,29,357856
2021,Bexar,8-San Antonio,541891,25,2133664
2021,Blanco,7-Austin,2124,18,11609
2021,Borden,9-Midland,116,17,692
2021,Bosque,7-Austin,3726,21,17729
2021,Bowie,4-Tyler,19426,21,92534
2021,Brazoria,6-Houston,94898,25,382793
2021,Brazos,7-Austin,51198,22,233503
2021,Brewster,10-El Paso,2039,22,9100
2021,Briscoe,1-Lubbock,303,19,1563
2021,Brooks,11-Edinburg,1849,26,7160
2021,Brown,2-Abilene,8380,22,38962
2021,Burleson,7-Austin,4025,23,17782
2021,Burnet,7-Austin,10486,22,48769
2021,Caldwell,7-Austin,11122,25,44960
2021,Calhoun,8-San Antonio,5687,25,22948
2021,Callahan,2-Abilene,2559,19,13465
2021,Cameron,11-Edinburg,124113,29,429514
2021,Camp,4-Tyler,3327,25,13411
2021,Carson,1-Lubbock,1308,23,5787
2021,Cass,4-Tyler,6680,22,30269
2021,Castro,1-Lubbock,1904,27,7024
2021,Chambers,6-Houston,11086,26,43243
2021,Cherokee,4-Tyler,13135,25,52263
2021,Childress,1-Lubbock,1404,20,7053
2021,Clay,2-Abilene,1884,19,9693
2021,Cochran,1-Lubbock,971,29,3371
2021,Coke,9-Midland,607,19,3205
2021,Coleman,2-Abilene,1946,23,8443
2021,Collin,3-Arlington,261282,24,1069017
2021,Collingsworth,1-Lubbock,856,27,3227
2021,Colorado,6-Houston,4976,23,21318
2021,Comal,8-San Antonio,33681,22,152183
2021,Comanche,2-Abilene,2941,23,12980
2021,Concho,9-Midland,571,14,4149
2021,Cooke,3-Arlington,8953,22,39847
2021,Coryell,7-Austin,19439,25,78703
2021,Cottle,2-Abilene,299,20,1507
2021,Crane,9-Midland,1857,29,6434
2021,Crockett,9-Midland,1008,25,4071
2021,Crosby,1-Lubbock,1677,26,6509
2021,Culberson,10-El Paso,440,20,2229
2021,Dallam,1-Lubbock,2275,31,7301
2021,Dallas,3-Arlington,735723,27,2771223
2021,Dawson,9-Midland,3259,24,13567
2021,DeWitt,8-San Antonio,4753,22,21907
2021,Deaf Smith,1-Lubbock,5440,30,18043
2021,Delta,4-Tyler,1114,21,5370
2021,Denton,3-Arlington,213635,23,925643
2021,Dickens,1-Lubbock,311,14,2149
2021,Dimmit,8-San Antonio,3582,30,11974
2021,Donley,1-Lubbock,672,20,3386
2021,Duval,11-Edinburg,3074,26,11771
2021,Eastland,2-Abilene,4015,22,18149
2021,Ector,9-Midland,56087,29,190713
2021,Edwards,8-San Antonio,399,20,1979
2021,El Paso,10-El Paso,243497,28,883160
2021,Ellis,3-Arlington,45207,25,180752
2021,Erath,3-Arlington,8952,21,41950
2021,Falls,7-Austin,3292,20,16493
2021,Fannin,3-Arlington,6960,20,34671
2021,Fayette,7-Austin,5880,22,26272
2021,Fisher,2-Abilene,837,21,3980
2021,Floyd,1-Lubbock,1420,25,5743
2021,Foard,2-Abilene,245,20,1238
2021,Fort Bend,6-Houston,215847,25,871351
2021,Franklin,4-Tyler,2801,26,10954
2021,Freestone,7-Austin,4393,22,19865
2021,Frio,8-San Antonio,4741,23,20327
2021,Gaines,9-Midland,7456,33,22628
2021,Galveston,6-Houston,87277,24,362099
2021,Garza,1-Lubbock,1400,21,6820
2021,Gillespie,8-San Antonio,5068,19,26361
2021,Glasscock,9-Midland,297,22,1380
2021,Goliad,8-San Antonio,1536,20,7768
2021,Gonzales,8-San Antonio,5618,26,21488
2021,Gray,1-Lubbock,6105,25,24456
2021,Grayson,3-Arlington,30898,23,132740
2021,Gregg,4-Tyler,31835,25,126034
2021,Grimes,7-Austin,6410,22,29128
2021,Guadalupe,8-San Antonio,43104,25,174869
2021,Hale,1-Lubbock,8933,27,32901
2021,Hall,1-Lubbock,774,23,3303
2021,Hamilton,7-Austin,1849,23,8210
2021,Hansford,1-Lubbock,1641,28,5855
2021,Hardeman,2-Abilene,942,24,3854
2021,Hardin,5-Beaumont,12395,22,56626
2021,Harris,6-Houston,1349783,27,5071573
2021,Harrison,4-Tyler,17476,26,68492
2021,Hartley,1-Lubbock,1188,20,6082
2021,Haskell,2-Abilene,1255,20,6237
2021,Hays,7-Austin,54406,22,244221
2021,Hemphill,1-Lubbock,1493,31,4761
2021,Henderson,4-Tyler,16914,21,81369
2021,Hidalgo,11-Edinburg,257655,29,879547
2021,Hill,7-Austin,8461,24,35678
2021,Hockley,1-Lubbock,6559,26,24799
2021,Hood,3-Arlington,11834,20,59402
2021,Hopkins,4-Tyler,8637,23,37194
2021,Houston,5-Beaumont,4539,20,22531
2021,Howard,9-Midland,9776,23,41941
2021,Hudspeth,10-El Paso,708,21,3403
2021,Hunt,3-Arlington,22125,23,96303
2021,Hutchinson,1-Lubbock,5313,25,21424
2021,Irion,9-Midland,257,17,1509
2021,Jack,2-Abilene,1932,22,8830
2021,Jackson,8-San Antonio,4211,26,16099
2021,Jasper,5-Beaumont,8248,23,35456
2021,Jeff Davis,10-El Paso,329,16,2092
2021,Jefferson,5-Beaumont,60613,23,259249
2021,Jim Hogg,11-Edinburg,1466,29,5053
2021,Jim Wells,11-Edinburg,12171,28,43074
2021,Johnson,3-Arlington,44085,25,173888
2021,Jones,2-Abilene,3211,16,19702
2021,Karnes,8-San Antonio,3378,22,15466
2021,Kaufman,3-Arlington,31993,25,127644
2021,Kendall,8-San Antonio,10696,22,47967
2021,Kenedy,11-Edinburg,105,22,483
2021,Kent,2-Abilene,151,19,798
2021,Kerr,8-San Antonio,10440,20,52544
2021,Kimble,9-Midland,804,19,4309
2021,King,1-Lubbock,52,17,313
2021,Kinney,8-San Antonio,710,21,3458
2021,Kleberg,11-Edinburg,6850,22,30910
2021,Knox,2-Abilene,999,25,3960
2021,La Salle,8-San Antonio,1688,20,8479
2021,Lamar,4-Tyler,11287,23,50009
2021,Lamb,1-Lubbock,3249,26,12672
2021,Lampasas,7-Austin,4485,21,21193
2021,Lavaca,8-San Antonio,5133,24,20958
2021,Lee,7-Austin,4254,24,17691
2021,Leon,7-Austin,4022,23,17805
2021,Liberty,6-Houston,21368,25,86326
2021,Limestone,7-Austin,5200,22,23559
2021,Lipscomb,1-Lubbock,928,25,3694
2021,Live Oak,11-Edinburg,2502,21,12081
2021,Llano,7-Austin,3194,16,19481
2021,Loving,9-Midland,14,15,93
2021,Lubbock,1-Lubbock,76238,24,321818
2021,Lynn,1-Lubbock,1322,24,5562
2021,Madison,7-Austin,3325,23,14636
2021,Marion,4-Tyler,1946,19,10255
2021,Martin,9-Midland,1720,28,6195
2021,Mason,9-Midland,763,20,3900
2021,Matagorda,6-Houston,9022,24,37055
2021,Maverick,8-San Antonio,17942,30,60484
2021,McCulloch,9-Midland,1936,22,8700
2021,McLennan,7-Austin,64638,25,254824
2021,McMullen,11-Edinburg,127,16,787
2021,Medina,8-San Antonio,11477,22,51121
2021,Menard,9-Midland,424,19,2185
2021,Midland,9-Midland,54506,28,193981
2021,Milam,7-Austin,5898,24,24634
2021,Mills,7-Austin,1044,21,4863
2021,Mitchell,2-Abilene,1914,19,9895
2021,Montague,2-Abilene,4257,22,19154
2021,Montgomery,6-Houston,156149,25,632702
2021,Moore,1-Lubbock,6248,29,21543
2021,Morris,4-Tyler,2758,22,12393
2021,Motley,1-Lubbock,205,18,1165
2021,Nacogdoches,5-Beaumont,13391,21,64181
2021,Navarro,3-Arlington,11399,24,47962
2021,Newton,5-Beaumont,2596,19,13654
2021,Nolan,2-Abilene,4042,26,15689
2021,Nueces,11-Edinburg,96674,25,388438
2021,Ochiltree,1-Lubbock,3363,29,11431
2021,Oldham,1-Lubbock,554,25,2210
2021,Orange,5-Beaumont,19723,23,86539
2021,Palo Pinto,3-Arlington,6145,22,27815
2021,Panola,4-Tyler,5947,24,24647
2021,Parker,3-Arlington,31482,23,137707
2021,Parmer,1-Lubbock,2502,28,9097
2021,Pecos,9-Midland,4064,24,16598
2021,Polk,5-Beaumont,9580,19,49480
2021,Potter,1-Lubbock,30481,25,122765
2021,Presidio,10-El Paso,1376,24,5758
2021,Rains,4-Tyler,2215,19,11425
2021,Randall,1-Lubbock,33732,24,140273
2021,Reagan,9-Midland,1179,27,4326
2021,Real,8-San Antonio,697,20,3415
2021,Red River,4-Tyler,2577,21,12565
2021,Reeves,9-Midland,3464,22,15931
2021,Refugio,11-Edinburg,1730,23,7589
2021,Roberts,1-Lubbock,224,23,991
2021,Robertson,7-Austin,3691,22,16924
2021,Rockwall,3-Arlington,24473,23,104969
2021,Runnels,2-Abilene,2590,23,11072
2021,Rusk,4-Tyler,11309,21,52713
2021,Sabine,5-Beaumont,1833,19,9840
2021,San Augustine,5-Beaumont,1635,20,8365
2021,San Jacinto,5-Beaumont,6455,22,29085
2021,San Patricio,11-Edinburg,18486,26,72040
2021,San Saba,7-Austin,1183,20,5856
2021,Schleicher,9-Midland,834,25,3325
2021,Scurry,2-Abilene,4668,25,18541
2021,Shackelford,2-Abilene,781,23,3414
2021,Shelby,5-Beaumont,6640,26,25537
2021,Sherman,1-Lubbock,856,26,3299
2021,Smith,4-Tyler,57514,24,237577
2021,Somervell,3-Arlington,1970,21,9388
2021,Starr,11-Edinburg,19929,31,65010
2021,Stephens,2-Abilene,2185,23,9570
2021,Sterling,9-Midland,260,21,1257
2021,Stonewall,2-Abilene,308,20,1524
2021,Sutton,9-Midland,1000,23,4406
2021,Swisher,1-Lubbock,1750,24,7365
2021,Tarrant,3-Arlington,545169,25,2178720
2021,Taylor,2-Abilene,34395,25,140207
2021,Terrell,9-Midland,210,20,1057
2021,Terry,1-Lubbock,3480,27,13096
2021,Throckmorton,2-Abilene,307,20,1513
2021,Titus,4-Tyler,9083,28,32989
2021,Tom Green,9-Midland,28400,23,124765
2021,Travis,7-Austin,290389,22,1317306
2021,Trinity,5-Beaumont,2633,19,14183
2021,Tyler,5-Beaumont,4265,20,21313
2021,Upshur,4-Tyler,9137,22,41899
2021,Upton,9-Midland,1063,26,4056
2021,Uvalde,8-San Antonio,6999,25,28166
2021,Val Verde,8-San Antonio,13469,28,48180
2021,Van Zandt,4-Tyler,12531,22,55778
2021,Victoria,8-San Antonio,23279,24,98869
2021,Walker,6-Houston,13329,18,74751
2021,Waller,6-Houston,11621,23,51529
2021,Ward,9-Midland,4078,29,13986
2021,Washington,7-Austin,7709,22,35306
2021,Webb,11-Edinburg,81332,29,278650
2021,Wharton,6-Houston,10565,25,41999
2021,Wheeler,1-Lubbock,1475,25,5813
2021,Wichita,2-Abilene,29430,22,133234
2021,Wilbarger,2-Abilene,2934,23,12973
2021,Willacy,11-Edinburg,5407,24,22115
2021,Williamson,7-Austin,150324,25,609818
2021,Wilson,8-San Antonio,11516,22,52777
2021,Winkler,9-Midland,2955,31,9569
2021,Wise,3-Arlington,14921,22,66500
2021,Wood,4-Tyler,9052,20,45611
2021,Yoakum,1-Lubbock,2970,32,9404
2021,Young,2-Abilene,4421,24,18730
2021,Zapata,11-Edinburg,4599,32,14418
2021,Zavala,8-San Antonio,3938,31,12780
2020,Anderson,4-Tyler,10766,19,58199
2020,Andrews,9-Midland,6851,31,22269
2020,Angelina,5-Beaumont,23070,26,90437
2020,Aransas,11-Edinburg,5226,19,27699
2020,Archer,2-Abilene,1700,20,8344
2020,Armstrong,1-Lubbock,338,17,1948
2020,Atascosa,8-San Antonio,13408,26,51831
2020,Austin,6-Houston,6938,23,30402
2020,Bailey,1-Lubbock,2325,30,7692
2020,Bandera,8-San Antonio,3432,16,21246
2020,Bastrop,7-Austin,20808,24,86105
2020,Baylor,2-Abilene,809,22,3624
2020,Bee,11-Edinburg,7568,22,34445
2020,Bell,7-Austin,102689,29,353629
2020,Bexar,8-San Antonio,533642,25,2093502
2020,Blanco,7-Austin,2115,18,11504
2020,Borden,9-Midland,113,17,685
2020,Bosque,7-Austin,3718,21,17765
2020,Bowie,4-Tyler,19598,21,92570
2020,Brazoria,6-Houston,94183,25,375869
2020,Brazos,7-Austin,50377,22,229410
2020,Brewster,10-El Paso,2035,22,9133
2020,Briscoe,1-Lubbock,311,20,1568
2020,Brooks,11-Edinburg,1836,26,7175
2020,Brown,2-Abilene,8466,22,38923
2020,Burleson,7-Austin,3979,22,17718
2020,Burnet,7-Austin,10343,21,48196
2020,Caldwell,7-Austin,10970,25,44284
2020,Calhoun,8-San Antonio,5685,25,22840
2020,Callahan,2-Abilene,2581,19,13456
2020,Cameron,11-Edinburg,124912,29,427881
2020,Camp,4-Tyler,3304,25,13322
2020,Carson,1-Lubbock,1317,23,5799
2020,Cass,4-Tyler,6691,22,30327
2020,Castro,1-Lubbock,1932,27,7103
2020,Chambers,6-Houston,10887,26,42320
2020,Cherokee,4-Tyler,13180,25,52178
2020,Childress,1-Lubbock,1408,20,7062
2020,Clay,2-Abilene,1915,20,9787
2020,Cochran,1-Lubbock,977,29,3348
2020,Coke,9-Midland,605,19,3215
2020,Coleman,2-Abilene,1949,23,8478
2020,Collin,3-Arlington,258321,25,1039369
2020,Collingsworth,1-Lubbock,849,26,3210
2020,Colorado,6-Houston,4956,23,21273
2020,Comal,8-San Antonio,32639,22,147330
2020,Comanche,2-Abilene,2960,23,13075
2020,Concho,9-Midland,572,14,4147
2020,Cooke,3-Arlington,8980,23,39727
2020,Coryell,7-Austin,19682,25,78317
2020,Cottle,2-Abilene,310,21,1510
2020,Crane,9-Midland,1775,29,6209
2020,Crockett,9-Midland,1007,25,4040
2020,Crosby,1-Lubbock,1671,26,6464
2020,Culberson,10-El Paso,454,20,2245
2020,Dallam,1-Lubbock,2254,31,7237
2020,Dallas,3-Arlington,728017,27,2734111
2020,Dawson,9-Midland,3267,24,13592
2020,DeWitt,8-San Antonio,4724,22,21737
2020,Deaf Smith,1-Lubbock,5491,30,18143
2020,Delta,4-Tyler,1123,21,5367
2020,Denton,3-Arlington,210980,24,897953
2020,Dickens,1-Lubbock,321,15,2174
2020,Dimmit,8-San Antonio,3480,30,11743
2020,Donley,1-Lubbock,674,20,3410
2020,Duval,11-Edinburg,3077,26,11796
2020,Eastland,2-Abilene,4078,22,18205
2020,Ector,9-Midland,54638,30,184841
2020,Edwards,8-San Antonio,404,20,1991
2020,El Paso,10-El Paso,242335,28,876120
2020,Ellis,3-Arlington,44872,25,177721
2020,Erath,3-Arlington,8926,21,41526
2020,Falls,7-Austin,3330,20,16603
2020,Fannin,3-Arlington,6968,20,34597
2020,Fayette,7-Austin,5813,22,26086
2020,Fisher,2-Abilene,831,21,3985
2020,Floyd,1-Lubbock,1449,25,5786
2020,Foard,2-Abilene,244,20,1240
2020,Fort Bend,6-Houston,210803,25,840383
2020,Franklin,4-Tyler,2752,25,10924
2020,Freestone,7-Austin,4391,22,19860
2020,Frio,8-San Antonio,4661,23,20023
2020,Gaines,9-Midland,7336,33,22121
2020,Galveston,6-Houston,85826,24,355196
2020,Garza,1-Lubbock,1400,21,6784
2020,Gillespie,8-San Antonio,5015,19,26191
2020,Glasscock,9-Midland,299,22,1365
2020,Goliad,8-San Antonio,1527,20,7717
2020,Gonzales,8-San Antonio,5613,26,21347
2020,Gray,1-Lubbock,6048,25,24252
2020,Grayson,3-Arlington,30635,23,131710
2020,Gregg,4-Tyler,31879,25,125730
2020,Grimes,7-Austin,6372,22,28930
2020,Guadalupe,8-San Antonio,42151,25,170266
2020,Hale,1-Lubbock,9045,27,33202
2020,Hall,1-Lubbock,775,23,3305
2020,Hamilton,7-Austin,1827,22,8220
2020,Hansford,1-Lubbock,1643,28,5820
2020,Hardeman,2-Abilene,942,24,3870
2020,Hardin,5-Beaumont,12509,22,56486
2020,Harris,6-Houston,1330726,27,4978845
2020,Harrison,4-Tyler,17387,25,68247
2020,Hartley,1-Lubbock,1192,20,6067
2020,Haskell,2-Abilene,1243,20,6197
2020,Hays,7-Austin,52771,22,234896
2020,Hemphill,1-Lubbock,1478,32,4644
2020,Henderson,4-Tyler,16944,21,81179
2020,Hidalgo,11-Edinburg,258163,30,870366
2020,Hill,7-Austin,8441,24,35673
2020,Hockley,1-Lubbock,6524,26,24636
2020,Hood,3-Arlington,11711,20,58643
2020,Hopkins,4-Tyler,8635,23,37040
2020,Houston,5-Beaumont,4522,20,22620
2020,Howard,9-Midland,9553,23,41236
2020,Hudspeth,10-El Paso,720,21,3400
2020,Hunt,3-Arlington,21890,23,95324
2020,Hutchinson,1-Lubbock,5340,25,21461
2020,Irion,9-Midland,261,17,1508
2020,Jack,2-Abilene,1914,22,8841
2020,Jackson,8-San Antonio,4140,26,15899
2020,Jasper,5-Beaumont,8283,23,35525
2020,Jeff Davis,10-El Paso,326,15,2113
2020,Jefferson,5-Beaumont,60433,23,258678
2020,Jim Hogg,11-Edinburg,1477,29,5077
2020,Jim Wells,11-Edinburg,12078,28,42890
2020,Johnson,3-Arlington,43616,25,171701
2020,Jones,2-Abilene,3242,16,19735
2020,Karnes,8-San Antonio,3338,22,15393
2020,Kaufman,3-Arlington,31590,25,125134
2020,Kendall,8-San Antonio,10300,22,46278
2020,Kenedy,11-Edinburg,101,21,476
2020,Kent,2-Abilene,149,19,795
2020,Kerr,8-San Antonio,10341,20,52267
2020,Kimble,9-Midland,800,18,4344
2020,King,1-Lubbock,52,17,309
2020,Kinney,8-San Antonio,710,21,3462
2020,Kleberg,11-Edinburg,6964,22,30987
2020,Knox,2-Abilene,989,25,3937
2020,La Salle,8-San Antonio,1650,20,8309
2020,Lamar,4-Tyler,11333,23,50014
2020,Lamb,1-Lubbock,3288,26,12776
2020,Lampasas,7-Austin,4497,21,21037
2020,Lavaca,8-San Antonio,5031,24,20735
2020,Lee,7-Austin,4219,24,17595
2020,Leon,7-Austin,3954,22,17707
2020,Liberty,6-Houston,21053,25,85284
2020,Limestone,7-Austin,5196,22,23544
2020,Lipscomb,1-Lubbock,907,25,3651
2020,Live Oak,11-Edinburg,2451,20,12030
2020,Llano,7-Austin,3141,16,19452
2020,Loving,9-Midland,14,15,92
2020,Lubbock,1-Lubbock,75186,24,317210
2020,Lynn,1-Lubbock,1346,24,5588
2020,Madison,7-Austin,3246,22,14527
2020,Marion,4-Tyler,1936,19,10294
2020,Martin,9-Midland,1681,28,6044
2020,Mason,9-Midland,757,19,3899
2020,Matagorda,6-Houston,9067,24,37064
2020,Maverick,8-San Antonio,17868,30,59938
2020,McCulloch,9-Midland,1914,22,8660
2020,McLennan,7-Austin,64314,25,253066
2020,McMullen,11-Edinburg,123,16,783
2020,Medina,8-San Antonio,11494,23,50594
2020,Menard,9-Midland,422,19,2188
2020,Midland,9-Midland,52452,28,187364
2020,Milam,7-Austin,5902,24,24635
2020,Mills,7-Austin,1029,21,4870
2020,Mitchell,2-Abilene,1882,19,9865
2020,Montague,2-Abilene,4242,22,19199
2020,Montgomery,6-Houston,152679,25,613951
2020,Moore,1-Lubbock,6309,29,21575
2020,Morris,4-Tyler,2769,22,12448
2020,Motley,1-Lubbock,215,18,1172
2020,Nacogdoches,5-Beaumont,13443,21,64106
2020,Navarro,3-Arlington,11497,24,47985
2020,Newton,5-Beaumont,2621,19,13724
2020,Nolan,2-Abilene,4039,26,15642
2020,Nueces,11-Edinburg,95469,25,383718
2020,Ochiltree,1-Lubbock,3354,30,11309
2020,Oldham,1-Lubbock,561,26,2200
2020,Orange,5-Beaumont,19718,23,86155
2020,Palo Pinto,3-Arlington,6183,22,27859
2020,Panola,4-Tyler,5956,24,24576
2020,Parker,3-Arlington,31099,23,135621
2020,Parmer,1-Lubbock,2551,28,9200
2020,Pecos,9-Midland,4021,24,16533
2020,Polk,5-Beaumont,9500,19,49080
2020,Potter,1-Lubbock,30754,25,122706
2020,Presidio,10-El Paso,1430,24,5906
2020,Rains,4-Tyler,2197,19,11378
2020,Randall,1-Lubbock,33231,24,138104
2020,Reagan,9-Midland,1184,28,4226
2020,Real,8-San Antonio,681,20,3407
2020,Red River,4-Tyler,2580,20,12610
2020,Reeves,9-Midland,3416,22,15707
